sample,P1,Pinf,Pstep,discount_rate,diesel_price,N_mid,method,delta_lcoe_pct_raw,delta_lcoe_pct_corrected,switch_count,bias_correction_factor
55,3.1436009583598703,1.7448254202989442,1.9713955418752342,0.12250574861178955,1.969059692549687,34.70303014278785,full_OnSSET,14.826297918630123,13.359903286099385,3761.0,0.9010950244910345
56,3.514223912521238,1.8315369460511974,2.0369009689925583,0.1051189296078775,1.8033250074227367,26.31869730626933,full_OnSSET,19.674069228900553,17.72820589365445,4156.0,0.9010950244910345
57,3.8584486533920526,1.2471954615828307,2.7956933837430094,0.06376356180003041,2.086495043324472,22.88742726597695,full_OnSSET,76.10033675280626,68.57363481004593,3818.0,0.9010950244910345
58,3.562434999662297,1.931189230589239,2.420396723499959,0.0782995720722888,1.769159051413525,42.36580627222469,full_OnSSET,57.54650768456495,51.85487175139656,3937.0,0.9010950244910345
59,4.054830962120878,1.68373345233208,2.4364838946287413,0.06692220751396873,1.6784201685818603,45.887055892764394,full_OnSSET,69.903264728907,62.98948404289773,3924.0,0.9010950244910345
60,4.405342246947789,1.8934469516638202,2.69137707440633,0.12130879034778325,1.6457331224112908,28.381261519752414,full_OnSSET,75.56810852704625,68.09404660391989,5102.0,0.9010950244910345
61,3.67322138887436,1.0490875405713092,2.838359658448492,0.06592404610619154,1.7027313726686832,12.660520600022512,full_OnSSET,70.4399794527267,63.47311501010274,3771.0,0.9010950244910345
62,3.7557776190548595,1.8635817478122267,2.357152770448521,0.09177397045394035,1.5511008965335666,35.08165359959363,full_OnSSET,50.33587348610633,45.3574051517406,4271.0,0.9010950244910345
63,3.836700522535312,1.9006648328452445,2.2064102626337743,0.08799312266602338,2.068193132449826,25.039072863474736,full_OnSSET,32.550821642272865,29.331383424947163,4226.0,0.9010950244910345
64,4.1439187437973795,1.730883851025484,2.865984725460483,0.07158801075352979,2.1115054996929086,29.514373147125255,full_OnSSET,82.48886635948443,74.33030705243729,4078.0,0.9010950244910345
